exp,event,branch,pipeline
0.85,1,second,js
2.00,1,second,ref
2.89,1,second,js
3.81,1,second,js
2.43,1,second,ref
4.99,0,second,js
4.99,0,second,js
4.99,0,second,js
4.99,0,second,js
1.35,1,second,js
4.96,0,second,js
4.96,0,second,js
0.72,1,second,ref
2.43,1,second,js
4.63,1,second,js
4.60,1,second,js
0.66,1,second,js
2.46,1,second,js
4.86,0,second,js
2.33,1,second,js
4.80,0,second,js
4.80,0,second,js
4.80,0,second,js
3.19,1,second,ref
1.18,1,second,js
3.42,1,second,js
4.67,0,second,js
1.05,1,second,js
4.60,0,second,js
4.60,0,second,js
4.60,0,second,js
1.68,1,second,js
4.57,0,second,js
1.35,1,second,js
2.63,1,second,js
4.53,0,second,js
0.85,1,second,js
0.89,1,second,js
4.07,1,second,js
0.99,1,second,js
0.49,1,second,js
3.02,1,second,js
4.07,0,second,js
3.91,0,second,js
0.56,1,second,js
3.88,0,second,js
3.88,0,second,ref
3.88,0,second,cs
3.88,0,second,js
3.88,0,second,js
3.88,0,second,js
2.07,1,second,js
2.17,1,second,js
2.30,1,second,js
3.22,1,second,js
0.53,1,second,js
2.33,1,second,js
2.33,1,second,js
3.81,0,second,js
3.81,0,second,ref
3.81,0,second,js
2.20,1,second,ref
2.69,1,second,ref
3.15,1,second,js
1.77,1,second,js
3.68,0,second,js
3.68,0,second,cs
1.48,1,second,ref
1.74,1,second,sm
1.84,1,second,ref
1.84,1,second,ref
1.91,1,second,js
2.30,1,second,js
2.60,1,second,ref
3.65,0,second,ref
1.25,1,second,js
3.32,1,second,js
3.61,0,second,js
3.61,0,second,js
3.61,0,second,js
3.61,0,second,js
3.61,0,second,js
0.85,1,second,js
1.77,1,second,js
2.00,1,second,js
2.50,1,second,ref
3.58,0,second,js
0.85,1,second,js
2.07,1,second,js
2.76,1,second,ref
3.52,0,second,js
3.45,0,second,js
3.45,0,second,ref
3.45,0,second,js
3.45,0,second,js
3.45,0,second,js
1.25,1,second,ref
1.97,1,second,ref
2.33,1,second,ref
2.79,1,second,js
2.83,1,second,js
3.38,0,second,js
3.38,0,second,js
3.38,0,second,js
1.54,1,second,js
3.22,1,second,js
3.35,0,second,js
3.35,0,second,js
1.08,1,second,ref
2.69,1,second,js
3.32,0,second,js
3.32,0,second,js
0.23,1,second,js
1.51,1,second,js
2.66,1,second,js
3.22,0,second,sm
3.22,0,second,sm
3.22,0,second,ref
3.22,0,second,js
0.79,1,second,js
2.07,1,second,js
2.07,1,second,ref
3.19,0,second,js
3.19,0,second,ref
3.19,0,second,js
3.19,0,second,js
1.48,1,second,sm
1.61,1,second,js
1.87,1,second,cs
2.53,1,second,js
2.56,1,second,js
3.15,0,second,js
3.15,0,second,ref
3.15,0,second,cs
3.15,0,second,js
1.38,1,second,js
1.38,1,second,js
2.10,1,second,js
2.27,1,second,js
2.33,1,second,js
2.60,1,second,js
2.99,1,second,ref
3.12,0,second,js
1.35,1,second,js
2.92,0,second,js
2.92,0,second,js
2.92,0,second,js
2.92,0,second,js
2.92,0,second,ref
2.92,0,second,js
0.26,1,second,js
1.81,1,second,js
2.89,0,second,ref
0.26,1,second,js
2.76,0,second,js
0.46,1,second,js
0.76,1,second,js
2.37,1,second,ref
2.37,1,second,ref
2.66,0,second,js
2.66,0,second,ref
2.66,0,second,js
2.66,0,second,js
2.66,0,second,ref
2.43,1,second,js
2.63,0,second,ref
2.53,0,second,sm
2.53,0,second,ref
2.53,0,second,js
2.53,0,second,js
2.53,0,second,js
2.53,0,second,js
2.53,0,second,js
2.53,0,second,js
1.05,1,second,ref
1.38,1,second,js
1.38,1,second,js
1.38,1,second,js
1.38,1,second,ref
1.38,1,second,js
1.48,1,second,js
1.51,1,second,js
1.74,1,second,js
1.87,1,second,js
1.91,1,second,js
2.43,1,second,js
1.02,1,second,js
0.79,1,second,js
1.87,1,second,js
2.20,0,second,js
2.20,0,second,js
2.20,0,second,js
2.20,0,second,ref
2.20,0,second,js
2.20,0,second,js
2.20,0,second,js
2.20,0,second,cs
2.20,0,second,cs
0.85,1,second,js
2.17,0,second,js
0.59,1,second,js
2.07,0,second,js
2.07,0,second,ref
2.07,0,second,ref
0.72,1,second,js
0.95,1,second,js
1.41,1,second,js
1.68,1,second,js
2.04,0,second,js
0.72,1,second,js
1.91,1,second,js
0.72,1,second,js
1.41,1,second,js
1.97,0,second,ref
0.49,1,second,js
0.82,1,second,js
1.05,1,second,js
1.87,1,second,js
1.94,0,second,js
1.84,0,second,ref
1.84,0,second,ref
0.72,1,second,ref
1.18,1,second,js
1.68,1,second,ref
1.77,0,second,js
1.77,0,second,js
1.77,0,second,js
1.77,0,second,js
1.77,0,second,js
0.62,1,second,js
0.69,1,second,js
1.12,1,second,ref
1.22,1,second,js
1.45,1,second,js
1.68,1,second,js
1.74,0,second,js
1.74,0,second,js
1.74,0,second,js
1.74,0,second,ref
0.39,1,second,js
1.41,1,second,js
1.71,0,second,js
1.71,0,second,js
1.71,0,second,js
1.71,0,second,js
1.71,0,second,ref
1.71,0,second,js
1.71,0,second,js
1.71,0,second,ref
1.71,0,second,js
1.71,0,second,js
1.71,0,second,js
1.71,0,second,js
1.05,1,second,js
1.61,1,second,js
1.61,0,second,cs
1.61,0,second,js
1.61,0,second,js
1.61,0,second,js
1.61,0,second,js
1.61,0,second,js
1.61,0,second,ref
1.61,0,second,js
1.61,0,second,js
1.61,0,second,js
0.36,1,second,js
0.49,1,second,js
0.95,1,second,js
1.38,1,second,js
1.58,0,second,js
1.58,0,second,js
1.58,0,second,js
1.58,0,second,ref
1.58,0,second,ref
1.58,0,second,ref
1.58,0,second,js
1.58,0,second,js
0.92,1,second,js
0.92,1,second,js
1.02,1,second,ref
1.54,0,second,js
1.51,0,second,js
1.51,0,second,ref
1.31,0,second,js
1.31,0,second,sm
1.31,0,second,js
0.76,1,second,js
1.25,0,second,js
1.25,0,second,js
1.25,0,second,js
1.25,0,second,js
1.25,0,second,js
1.25,0,second,ref
1.15,0,second,js
1.08,0,second,js
1.08,0,second,js
1.08,0,second,ref
1.08,0,second,cs
0.92,0,second,sm
0.89,0,second,js
0.89,0,second,js
0.89,0,second,ref
0.82,0,second,js
0.82,0,second,js
0.82,0,second,js
0.82,0,second,js
0.79,0,second,js
0.79,0,second,js
0.79,0,second,js
0.79,0,second,ref
0.79,0,second,js
0.79,0,second,js
0.79,0,second,js
0.66,0,second,js
0.66,0,second,js
0.66,0,second,js
0.66,0,second,ref
0.66,0,second,js
0.66,0,second,ref
0.66,0,second,js
0.62,0,second,js
0.62,0,second,cs
0.62,0,second,js
0.62,0,second,ref
0.62,0,second,js
0.39,1,second,js
0.49,1,second,ref
0.39,0,second,js
0.36,0,second,cs
0.23,0,second,js
0.13,0,second,js
4.90,1,fourth,js
5.72,1,fourth,js
2.10,1,fourth,sm
4.50,1,fourth,js
8.94,1,fourth,ref
2.92,1,fourth,sm
1.02,1,fourth,js
8.87,1,fourth,js
3.02,1,fourth,ref
1.97,1,fourth,js
12.88,0,fourth,js
12.29,0,fourth,ea
0.62,1,fourth,ea
1.74,1,fourth,ref
0.23,1,fourth,js
1.25,1,fourth,js
9.20,1,fourth,js
3.29,1,fourth,ea
2.53,1,fourth,sm
6.70,1,fourth,ea
10.81,0,fourth,ea
0.82,1,fourth,js
6.37,1,fourth,ref
9.13,1,fourth,ea
1.15,1,fourth,ea
1.18,1,fourth,js
6.44,1,fourth,js
9.86,0,fourth,js
9.82,0,fourth,ref
9.40,0,fourth,ref
4.47,1,fourth,ref
1.77,1,fourth,js
2.07,1,fourth,js
2.83,1,fourth,js
1.71,1,fourth,js
8.44,0,fourth,js
8.44,0,fourth,js
2.14,1,fourth,sm
4.50,1,fourth,js
8.02,0,fourth,js
7.92,0,fourth,ea
2.73,1,fourth,sm
4.47,1,fourth,sm
7.69,0,fourth,ea
7.69,0,fourth,ea
2.04,1,fourth,js
1.48,1,fourth,js
4.67,1,fourth,js
7.23,0,fourth,ea
1.12,1,fourth,js
0.13,1,fourth,js
1.97,1,fourth,js
5.42,1,fourth,js
0.72,1,fourth,sm
5.42,1,fourth,sm
7.00,0,fourth,js
7.00,0,fourth,js
6.90,0,fourth,js
6.90,0,fourth,js
6.90,0,fourth,js
5.19,1,fourth,js
6.87,0,fourth,js
6.87,0,fourth,js
6.87,0,fourth,js
6.87,0,fourth,js
0.56,1,fourth,js
0.56,1,fourth,ref
2.73,1,fourth,js
3.71,1,fourth,js
6.70,1,fourth,js
6.83,0,fourth,js
6.80,0,fourth,js
6.80,0,fourth,ref
6.67,0,fourth,js
6.67,0,fourth,js
6.67,0,fourth,js
6.67,0,fourth,js
6.67,0,fourth,ref
5.65,1,fourth,ref
6.64,0,fourth,js
6.57,0,fourth,sm
6.44,0,fourth,js
6.44,0,fourth,js
6.34,0,fourth,js
3.68,1,fourth,js
3.84,1,fourth,js
6.31,0,fourth,js
6.31,0,fourth,js
6.31,0,fourth,js
0.20,1,fourth,js
3.68,1,fourth,ref
0.23,1,fourth,js
1.18,1,fourth,js
0.79,1,fourth,js
1.87,1,fourth,js
2.50,1,fourth,cs
2.66,1,fourth,js
1.31,1,fourth,js
5.98,0,fourth,js
5.98,0,fourth,ref
5.98,0,fourth,ea
5.98,0,fourth,ref
5.98,0,fourth,js
0.26,1,fourth,ref
2.66,1,fourth,js
0.92,1,fourth,js
2.37,1,fourth,js
3.42,1,fourth,js
4.07,1,fourth,js
5.65,0,fourth,js
5.65,0,fourth,js
1.41,1,fourth,js
1.77,1,fourth,js
2.99,1,fourth,js
3.15,1,fourth,js
3.94,1,fourth,js
4.99,1,fourth,js
1.61,1,fourth,js
5.45,0,fourth,ea
5.39,0,fourth,js
1.05,1,fourth,js
1.97,1,fourth,js
3.78,1,fourth,ref
0.59,1,fourth,js
5.19,0,fourth,js
5.19,0,fourth,js
1.05,1,fourth,ref
2.53,1,fourth,js
2.92,1,fourth,ref
2.96,1,fourth,ea
5.16,0,fourth,ref
5.16,0,fourth,ea
5.16,0,fourth,js
0.79,1,fourth,js
0.82,1,fourth,js
5.06,0,fourth,ref
1.84,1,fourth,js
3.48,1,fourth,ref
4.67,1,fourth,js
4.70,1,fourth,js
4.93,0,fourth,js
1.71,1,fourth,js
4.76,0,fourth,js
4.76,0,fourth,js
4.76,0,fourth,js
4.76,0,fourth,ref
1.45,1,fourth,ea
2.27,1,fourth,js
3.15,1,fourth,js
3.15,1,fourth,ref
3.45,1,fourth,ref
3.52,1,fourth,js
0.62,1,fourth,ref
1.15,1,fourth,js
2.04,1,fourth,js
2.23,1,fourth,js
2.56,1,fourth,ref
4.17,1,fourth,ref
4.70,0,fourth,ref
3.09,1,fourth,js
4.37,0,fourth,ref
4.37,0,fourth,ref
4.04,0,fourth,ref
4.04,0,fourth,js
0.69,1,fourth,js
0.82,1,fourth,js
3.91,0,fourth,ref
3.91,0,fourth,js
3.88,0,fourth,ref
0.16,1,fourth,js
3.78,0,fourth,js
3.78,0,fourth,ref
3.78,0,fourth,js
3.78,0,fourth,ref
3.78,0,fourth,ref
3.78,0,fourth,ref
3.78,0,fourth,cs
3.78,0,fourth,js
0.23,1,fourth,ref
0.59,1,fourth,js
1.28,1,fourth,js
2.17,1,fourth,js
2.17,1,fourth,js
3.12,1,fourth,cs
3.68,0,fourth,js
3.65,0,fourth,js
3.65,0,fourth,js
3.65,0,fourth,js
3.65,0,fourth,ea
3.65,0,fourth,js
3.65,0,fourth,js
3.65,0,fourth,sm
3.65,0,fourth,js
0.92,1,fourth,js
1.15,1,fourth,js
2.99,1,fourth,cs
3.02,1,fourth,ref
3.48,1,fourth,js
3.61,0,fourth,js
3.61,0,fourth,js
2.37,1,fourth,js
2.37,1,fourth,js
2.99,1,fourth,ref
3.06,1,fourth,js
3.58,0,fourth,ref
3.58,0,fourth,js
3.35,0,fourth,js
3.35,0,fourth,js
0.82,1,fourth,js
3.32,0,fourth,js
3.32,0,fourth,js
3.32,0,fourth,ea
3.32,0,fourth,ref
3.32,0,fourth,js
1.94,1,fourth,js
3.22,0,fourth,ref
3.22,0,fourth,ref
3.22,0,fourth,ea
3.22,0,fourth,js
3.22,0,fourth,ref
3.22,0,fourth,js
3.22,0,fourth,js
3.22,0,fourth,js
1.74,1,fourth,ref
2.83,1,fourth,ref
3.15,0,fourth,ref
3.15,0,fourth,js
3.12,0,fourth,ea
3.12,0,fourth,ea
1.38,1,fourth,js
2.99,0,fourth,js
0.59,1,fourth,js
2.37,1,fourth,js
2.63,1,fourth,js
2.63,1,fourth,ref
2.76,0,fourth,ref
2.76,0,fourth,js
2.76,0,fourth,js
1.15,1,fourth,js
1.45,1,fourth,ea
1.68,1,fourth,ref
2.69,0,fourth,js
2.69,0,fourth,js
2.69,0,fourth,sm
2.69,0,fourth,ref
2.69,0,fourth,js
2.69,0,fourth,js
2.69,0,fourth,js
1.08,1,fourth,ea
1.08,1,fourth,sm
1.08,1,fourth,ref
1.58,1,fourth,ref
1.58,1,fourth,ref
2.50,1,fourth,js
2.66,0,fourth,js
2.66,0,fourth,js
2.50,0,fourth,js
1.87,1,fourth,ref
2.43,0,fourth,js
0.89,1,fourth,js
2.30,0,fourth,js
2.30,0,fourth,ref
2.30,0,fourth,ref
2.30,0,fourth,js
1.64,1,fourth,js
2.27,0,fourth,ref
2.27,0,fourth,js
1.38,1,fourth,js
2.17,0,fourth,ref
1.02,1,fourth,js
2.07,0,fourth,js
1.15,1,fourth,js
1.97,1,fourth,js
1.97,0,fourth,js
1.97,0,fourth,js
1.97,0,fourth,ref
1.97,0,fourth,js
1.97,0,fourth,ref
1.97,0,fourth,ref
1.97,0,fourth,js
1.97,0,fourth,js
1.97,0,fourth,js
1.97,0,fourth,js
1.97,0,fourth,js
0.85,1,fourth,js
1.77,0,fourth,js
1.77,0,fourth,ref
1.77,0,fourth,js
1.77,0,fourth,js
1.77,0,fourth,js
1.77,0,fourth,js
1.77,0,fourth,js
1.77,0,fourth,ea
1.77,0,fourth,js
0.53,1,fourth,js
1.12,1,fourth,js
1.15,1,fourth,js
1.15,1,fourth,js
1.74,0,fourth,js
1.74,0,fourth,js
1.74,0,fourth,js
1.74,0,fourth,js
1.12,1,fourth,ref
1.38,0,fourth,js
1.38,0,fourth,js
1.35,0,fourth,ref
1.35,0,fourth,ref
1.35,0,fourth,ref
1.35,0,fourth,js
1.35,0,fourth,js
1.35,0,fourth,js
1.35,0,fourth,ref
1.35,0,fourth,ref
1.22,1,fourth,js
1.31,0,fourth,js
1.31,0,fourth,js
1.31,0,fourth,js
1.31,0,fourth,js
1.28,0,fourth,js
1.25,0,fourth,sm
1.25,0,fourth,js
1.15,0,fourth,ref
1.15,0,fourth,js
0.79,1,fourth,js
1.12,0,fourth,ea
0.85,0,fourth,js
0.85,0,fourth,js
0.85,0,fourth,js
0.85,0,fourth,js
0.49,1,fourth,js
0.82,0,fourth,js
0.82,0,fourth,js
0.82,0,fourth,js
0.79,0,fourth,js
0.79,0,fourth,js
0.79,0,fourth,ea
0.23,0,fourth,js
0.23,0,fourth,js
0.16,0,fourth,js
0.16,0,fourth,ref
0.13,0,fourth,js
0.13,0,fourth,js
0.13,0,fourth,js
1.45,1,fifth,js
3.55,1,fifth,js
7.66,1,fifth,js
7.23,1,fifth,js
0.92,1,fifth,js
2.60,1,fifth,js
6.21,0,fifth,js
2.14,1,fifth,js
1.02,1,fifth,js
5.91,0,fifth,js
5.91,0,fifth,js
0.49,1,fifth,js
1.22,1,fifth,js
0.16,1,fifth,js
5.75,0,fifth,js
4.67,1,fifth,ref
5.52,0,fifth,js
0.59,1,fifth,js
1.25,1,fifth,js
5.29,0,fifth,js
5.03,0,fifth,js
2.96,1,fifth,js
4.99,0,fifth,js
2.66,1,fifth,js
1.25,1,fifth,js
0.72,1,fifth,js
1.18,1,fifth,js
1.71,1,fifth,js
0.53,1,fifth,js
0.33,1,fifth,js
3.45,0,fifth,js
3.45,0,fifth,js
3.45,0,fifth,js
0.49,1,fifth,js
0.69,1,fifth,js
0.69,1,fifth,js
1.25,1,fifth,js
3.19,0,fifth,js
1.02,1,fifth,js
1.02,1,fifth,js
1.48,1,fifth,js
2.99,0,fifth,js
2.96,0,fifth,js
2.96,0,fifth,cs
2.92,0,fifth,js
0.69,1,fifth,js
1.15,1,fifth,js
0.85,1,fifth,js
2.27,0,fifth,js
2.04,1,fifth,js
2.23,0,fifth,js
2.23,0,fifth,cs
2.07,0,fifth,js
0.82,1,fifth,js
1.15,1,fifth,js
1.84,0,fifth,js
1.84,0,fifth,js
1.84,0,fifth,js
0.59,1,fifth,js
0.82,0,fifth,js
1.61,0,fifth,js
1.61,0,fifth,js
1.61,0,fifth,js
1.55,1,fifth,js
1.54,1,fifth,js
1.61,1,fifth,cs
3.66,1,fifth,cs
3.66,1,fifth,cs
1.54,0,fifth,js
0.56,1,fifth,js
1.58,1,third,js
6.11,1,third,ea
3.02,1,third,js
1.61,1,third,ea
9.13,0,third,js
7.75,1,third,js
1.02,1,third,js
8.64,0,third,ea
7.36,1,third,js
2.37,1,third,ref
1.02,1,third,ea
4.37,1,third,js
7.75,0,third,cs
7.52,0,third,ea
1.91,1,third,js
1.35,1,third,ea
1.45,1,third,ea
4.17,1,third,ea
6.67,0,third,ea
6.21,0,third,cs
2.99,1,third,ea
1.68,1,third,js
5.42,0,third,js
4.57,1,third,js
5.03,0,third,cs
4.90,0,third,ea
0.69,1,third,ref
4.53,0,third,ea
4.50,0,third,js
0.62,1,third,js
4.37,0,third,js
4.37,0,third,ea
0.99,1,third,js
1.22,1,third,sm
2.76,1,third,ea
3.02,1,third,js
3.71,1,third,ea
1.58,1,third,js
1.94,1,third,js
1.94,1,third,js
2.56,1,third,ea
3.84,0,third,cs
3.68,0,third,js
3.68,0,third,js
3.68,0,third,js
3.68,0,third,js
3.68,0,third,js
3.68,0,third,js
1.02,1,third,js
12.66,1,third,cs
12.33,0,third,cs
9.12,1,third,cs
9.56,0,third,cs
12.78,1,third,cs
8.11,0,third,cs
4.63,1,third,cs
13.36,0,third,cs
18.34,0,third,ea
12.45,0,third,ea
13.12,0,third,ea
9.15,0,third,ea
10.16,0,third,ea
8.78,0,third,ea
6.66,1,third,cs
3.65,0,third,ea
0.53,1,third,js
2.33,1,third,cs
3.45,0,third,ref
3.45,0,third,ref
3.45,0,third,js
3.42,0,third,js
3.32,0,third,js
3.32,0,third,js
3.32,0,third,js
0.92,1,third,js
1.48,1,third,cs
1.74,1,third,ea
3.29,0,third,ref
3.29,0,third,ea
3.22,0,third,js
3.22,0,third,ref
1.68,1,third,ref
2.63,1,third,sm
0.92,1,third,js
2.76,0,third,ref
2.76,0,third,js
2.76,0,third,js
0.72,1,third,js
1.18,1,third,sm
2.69,0,third,js
2.66,0,third,js
2.66,0,third,sm
2.27,1,third,js
2.53,0,third,js
2.53,0,third,js
2.30,0,third,js
0.99,1,third,js
1.05,1,third,js
2.07,0,third,js
0.72,1,third,js
1.94,1,third,ref
0.95,1,third,js
1.87,0,third,js
1.84,0,third,ref
1.84,0,third,js
1.84,0,third,js
1.84,0,third,js
1.71,0,third,js
1.61,1,third,js
1.61,0,third,js
1.61,0,third,js
1.61,0,third,cs
1.61,0,third,js
1.61,0,third,ref
1.61,0,third,js
0.26,1,third,js
1.02,1,third,js
1.38,1,third,js
0.66,1,third,ea
0.99,1,third,js
1.54,0,third,js
1.51,0,third,js
1.48,0,third,js
1.02,1,third,js
1.25,0,third,js
1.25,0,third,js
1.15,0,third,ref
1.15,0,third,js
1.15,0,third,sm
0.92,0,third,ref
0.82,0,third,js
0.82,0,third,js
0.82,0,third,ref
0.56,0,third,js
0.56,0,third,js
0.56,0,third,js
0.53,0,third,cs
0.53,0,third,js
0.39,0,third,js
0.33,0,third,ref
0.13,0,third,js
